,word1,word2,bigram,freq.w1,freq.w2,freq.bi,human.eval
1179,여행NNG을JKO,하VV,여행NNG을JKO 하VV,43,7312,6,TRUE
1180,차NNG을JKO,빌리VV,차NNG을JKO 빌리VV,44,16,2,FALSE
1186,기차NNG을JKO,타VV,기차NNG을JKO 타VV,6,120,5,FALSE
1192,시간NNG을JKO,넘VV,시간NNG을JKO 넘VV,89,25,2,FALSE
1199,연락NNG을JKO,하VV,연락NNG을JKO 하VV,31,7312,28,TRUE
1200,근무NNG을JKO,하VV,근무NNG을JKO 하VV,10,7312,4,TRUE
1201,예약NNG을JKO,하VV,예약NNG을JKO 하VV,6,7312,5,TRUE
1209,포함NNG을JKO,하VV,포함NNG을JKO 하VV,7,7312,2,TRUE
1215,섭외NNG을JKO,하VV,섭외NNG을JKO 하VV,2,7312,2,TRUE
1220,시간NNG을JKO,하VV,시간NNG을JKO 하VV,89,7312,7,TRUE
1224,측정NNG을JKO,하VV,측정NNG을JKO 하VV,4,7312,4,TRUE
1229,삭제NNG을JKO,하VV,삭제NNG을JKO 하VV,4,7312,4,TRUE
1230,신경NNG을JKO,쓰VV,신경NNG을JKO 쓰VV,30,509,28,TRUE
1236,사용NNG을JKO,하VV,사용NNG을JKO 하VV,44,7312,40,TRUE
1247,체크NNG을JKO,하VV,체크NNG을JKO 하VV,10,7312,10,TRUE
1255,구입NNG을JKO,하VV,구입NNG을JKO 하VV,6,7312,6,TRUE
1264,전사NNG을JKO,하VV,전사NNG을JKO 하VV,6,7312,6,TRUE
1266,분석NNG을JKO,하VV,분석NNG을JKO 하VV,46,7312,40,TRUE
1269,자료NNG을JKO,만들VV,자료NNG을JKO 만들VV,61,344,3,FALSE
1273,자료NNG을JKO,쓰VV,자료NNG을JKO 쓰VV,61,509,2,FALSE
1279,구박NNG을JKO,하VV,구박NNG을JKO 하VV,7,7312,6,TRUE
1282,파티NNG을JKO,하VV,파티NNG을JKO 하VV,3,7312,2,TRUE
1284,고민NNG을JKO,하VV,고민NNG을JKO 하VV,33,7312,33,TRUE
1285,재NNG을JKO,뒤집어쓰VV,재NNG을JKO 뒤집어쓰VV,3,2,2,FALSE
1286,기도NNG을JKO,하VV,기도NNG을JKO 하VV,19,7312,9,TRUE
1292,유리NNG구두NNG을JKO,신VV,유리NNG구두NNG을JKO 신VV,9,11,4,FALSE
1293,춤NNG을JKO,추VV,춤NNG을JKO 추VV,14,16,14,TRUE
1302,아가씨NNG을JKO,찾VV,아가씨NNG을JKO 찾VV,5,136,2,FALSE
1303,사람NNG을JKO,찾VV,사람NNG을JKO 찾VV,98,136,4,FALSE
1305,유리NNG구두NNG을JKO,들VV,유리NNG구두NNG을JKO 들VV,9,475,2,FALSE
1309,유리NNG구두NNG을JKO,가지VV,유리NNG구두NNG을JKO 가지VV,9,568,2,FALSE
1323,일NNG을JKO,얘기NNG하XSV,일NNG을JKO 얘기NNG하XSV,183,86,2,FALSE
1333,마NNG을JKO,캐VV,마NNG을JKO 캐VV,2,4,2,FALSE
1334,어머니NNG을JKO,봉양NNG하XSV,어머니NNG을JKO 봉양NNG하XSV,7,2,2,FALSE
1335,소문NNG을JKO,듣VV,소문NNG을JKO 듣VV,7,268,4,FALSE
1339,소문NNG을JKO,내VV,소문NNG을JKO 내VV,7,178,2,TRUE
1346,도움NNG을JKO,주VV,도움NNG을JKO 주VV,30,324,18,TRUE
1366,방법NNG을JKO,모르VV,방법NNG을JKO 모르VV,47,111,2,FALSE
1374,길NNG을JKO,가VV,길NNG을JKO 가VV,26,336,6,FALSE
1376,절NNG을JKO,짓VV,절NNG을JKO 짓VV,6,29,3,FALSE
1380,힘NNG을JKO,주VV,힘NNG을JKO 주VV,48,324,5,FALSE
1381,물NNG을JKO,마시VV,물NNG을JKO 마시VV,29,46,8,FALSE
1383,힘NNG을JKO,다MAG하XSV,힘NNG을JKO 다MAG하XSV,48,16,2,FALSE
1385,힘NNG을JKO,가지VV,힘NNG을JKO 가지VV,48,568,14,FALSE
1400,숲속NNG을JKO,돌아다니VV,숲속NNG을JKO 돌아다니VV,2,6,2,FALSE
1420,목욕NNG을JKO,하VV,목욕NNG을JKO 하VV,4,7312,3,TRUE
1428,산NNG을JKO,내려오VV,산NNG을JKO 내려오VV,10,2,2,FALSE
1429,죄NNG을JKO,짓VV,죄NNG을JKO 짓VV,5,29,3,TRUE
1430,날개NNG옷NNG을JKO,입VV,날개NNG옷NNG을JKO 입VV,5,72,2,TRUE
1438,절NNG을JKO,하VV,절NNG을JKO 하VV,6,7312,2,TRUE
1442,아이NNG을JKO,안VV,아이NNG을JKO 안VV,29,5,2,FALSE
1444,땅NNG을JKO,치VV,땅NNG을JKO 치VV,15,84,5,FALSE
1448,집NNG을JKO,짓VV,집NNG을JKO 짓VV,25,29,9,FALSE
1449,말씀NNG을JKO,하VV,말씀NNG을JKO 하VV,139,7312,34,TRUE
1453,나무NNG을JKO,하VV,나무NNG을JKO 하VV,14,7312,6,TRUE
1458,문NNG을JKO,열VV,문NNG을JKO 열VV,43,52,19,TRUE
1464,도망NNG을JKO,가VV,도망NNG을JKO 가VV,8,336,8,TRUE
1470,문NNG을JKO,두드리VV,문NNG을JKO 두드리VV,43,7,4,FALSE
1474,입바람NNG을JKO,불VV,입바람NNG을JKO 불VV,2,6,2,FALSE
